Facility Name,CMS Certification Number,Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Hemoglobin Eligible Patients Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Hemoglobin Eligible Patients Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,URR Measure Score,URR Performance Period Rate,Number of URR Eligible Patients Performance Period,URR Baseline Period Rate,Number of URR Eligible Patients Baseline Period,URR Performance Score Applied,Fistula Measure Score,Fistula Performance Period Rate,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Total Performance Score,PY2014 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2012",Date of ownership record update
BROOKLYN HOSPITAL CENTER,330056,332312,,,121 DEKALB AVENUE,Dialysis Unit-2W,BROOKLYN,NY,11201,2,6,4%,24,0%,18,Achievement,4,96%,23,100%,12,Achievement,10,91%,270,100%,181,Achievement,10,0%,224,0%,112,Achievement,10%,10,10,10,70%,No reduction,03/13/1985,INDEPENDENT,03/14/1985
GENEVA GENERAL HOSPITAL,330058,332393,,,196 NORTH STREET,DIALYSIS UNIT,GENEVA,NY,14456,2,1,16%,45,19%,58,Improvement,7,98%,53,95%,60,Achievement,7,66%,610,76%,624,Achievement,2,21%,563,16%,428,Achievement,5%,10,10,10,49%,0.5%,12/07/1990,INDEPENDENT,12/08/1990
ADIRONDACK MEDICAL CENTER ESRD,330079,332404,,,2233 STATE ROUTE 86,,SARANAC LAKE,NY,12983,2,10,0%,14,0%,20,Achievement,10,100%,13,100%,18,Achievement,10,74%,161,73%,183,Achievement,10,2%,141,5%,109,Achievement,10%,10,10,10,100%,No reduction,06/25/1997,INDEPENDENT,06/26/1997
LINCOLN HOSPITAL,330080,332394,,,234 EAST 149TH STREET,Hemodialysis Unit,BRONX,NY,10451,2,N/A,,5,0%,11,N/A,10,100%,12,92%,12,Achievement,10,79%,126,9%,133,Achievement,10,0%,121,0%,98,Achievement,10%,10,10,10,100%,No reduction,03/13/1992,INDEPENDENT,03/14/1992
ARNOT ODGEN MEDICAL CENTER 2C UNIT,330090,332318,,,600 ROE AVENUE,,ELMIRA,NY,14905,2,N/A,,5,20%,60,N/A,N/A,,8,96%,53,N/A,N/A,Insufficient data,65,48%,411,N/A,N/A,Insufficient data,42,40%,224,N/A,N/A,10,10,10,100%,No reduction,02/16/1986,INDEPENDENT,01/02/1986
"NEW YORK & PRESBYTERIAN HOSPITALS, INC.",330101,332321,,,525 EAST 68TH STREET,HEMODIALYSIS UNIT,NEW YORK,NY,10065,2,N/A,,3,,5,N/A,N/A,,4,,3,N/A,N/A,Insufficient data,46,Insufficient data,51,N/A,N/A,Insufficient data,43,Insufficient data,33,N/A,N/A,0,10,10,67%,No reduction,09/28/1980,INDEPENDENT,09/29/1980
MARY IMOGENE BASSETT HOSPITAL,330136,332329,,,1 ATWELL ROAD,Dialysis Unit,COOPERSTOWN,NY,13326,2,10,0%,39,0%,47,Achievement,1,94%,32,100%,33,Achievement,7,65%,343,66%,394,Achievement,3,19%,310,14%,249,Achievement,5%,10,10,10,58%,No reduction,05/10/1984,INDEPENDENT,11/29/2006
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,330141,332332,,,101 HOSPITAL ROAD,,PATCHOGUE,NY,11772,2,N/A,,8,0%,11,N/A,0,92%,12,100%,13,Achievement,1,47%,112,60%,139,Achievement,0,48%,79,33%,84,Achievement,1%,10,10,10,14%,2.0%,09/11/1981,INDEPENDENT,09/12/1981
ST. JAMES MERCY HOSPITAL,330151,332386,,,1 BETHESDA DRIVE,Dialysis Unit,HORNELL,NY,14843,2,10,0%,31,3%,40,Achievement,10,100%,29,100%,32,Achievement,10,75%,348,81%,365,Achievement,5,14%,331,11%,253,Achievement,8%,10,10,10,94%,No reduction,09/03/1985,INDEPENDENT,09/04/1985
WEISS RENAL CTR,330158,332377,,,255 LAFAYETTE AVENUE,GOOD SAMARITAN HOSP,SUFFERN,NY,10901,2,10,0%,86,6%,84,Achievement,10,100%,91,100%,84,Achievement,8,69%,1022,66%,948,Achievement,5,14%,929,11%,614,Achievement,7%,10,10,10,91%,No reduction,11/10/1982,INDEPENDENT,01/02/1980
EASTERN NIAGARA HOSPITAL ESRD,330163,332412,,,2600 WILLIAM STREET,,NEWFANE,NY,14108,2,0,13%,23,6%,17,Achievement,0,91%,23,93%,14,Achievement,0,39%,242,52%,114,Achievement,1,24%,211,26%,57,Achievement,1%,10,10,10,13%,2.0%,11/08/2010,INDEPENDENT,11/09/2010
WINTHROP UNIVERSITY HOSPITAL,330167,332336,,,200 OLD COUNTRY ROAD,THE DIALYSIS CENTER,MINEOLA,NY,11501,2,10,0%,136,8%,145,Achievement,8,99%,127,99%,139,Achievement,8,69%,1424,72%,1514,Achievement,7,11%,1319,7%,1064,Achievement,8%,10,10,10,88%,No reduction,03/07/1991,INDEPENDENT,01/14/1985
GLENS FALLS HOSPITAL,330191,332370,,,3 BROAD STREET PLAZA,Dialysis Unit,GLENS FALLS,NY,12801,2,10,0%,104,1%,102,Achievement,2,93%,107,91%,98,Improvement,9,72%,1195,63%,882,Achievement,7,11%,1078,18%,606,Achievement,8%,10,10,10,70%,No reduction,10/19/1988,INDEPENDENT,10/20/1988
LIJ MEDICAL CENTER,330195,332341,,,270-05 76TH AVENUE,Dialysis Unit 7th Floor,NEW HYDE PARK,NY,11040,2,N/A,,0,,0,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,0,10,0,33%,1.0%,06/02/1981,INDEPENDENT,06/03/1981
S. NASSAU COMMUNITIES HOSP.,330198,332388,,,1 HEALTHY WAY,Dialysis - Acute Unit,OCEANSIDE,NY,11572,2,N/A,,1,,3,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,17,Insufficient data,28,N/A,N/A,Insufficient data,6,Insufficient data,4,N/A,N/A,0,10,10,67%,No reduction,02/06/1989,INDEPENDENT,02/07/1989
METROPOLITAN HOSPITAL CENTER,330199,332344,,,1901 FIRST AVENUE,Dialysis Unit,NEW YORK,NY,10029,2,N/A,,10,,10,N/A,0,82%,11,100%,12,Achievement,4,56%,113,68%,135,Achievement,5,14%,102,4%,93,Achievement,5%,10,10,10,32%,1.5%,12/01/1981,INDEPENDENT,12/02/1981
KINGSBROOK JEWISH MEDICAL CENTER,330201,332345,,,585 SCHENECTADY AVENUE,DIALYSIS DEPT,BROOKLYN,NY,11203,2,10,0%,40,4%,57,Achievement,7,98%,42,93%,54,Achievement,2,46%,446,39%,636,Improvement,3,19%,398,20%,423,Achievement,3%,10,10,10,70%,No reduction,07/10/1981,INDEPENDENT,07/11/1981
KINGS COUNTY HOSPITAL CENTER,330202,332346,,,451 CLARKSON AVENUE,"Dialysis Unit, Rm C6210",BROOKLYN,NY,11203,2,N/A,,0,20%,25,N/A,10,100%,31,100%,35,Achievement,10,79%,304,57%,378,Achievement,7,11%,292,30%,268,Achievement,9%,10,0,10,92%,No reduction,05/27/1981,INDEPENDENT,05/28/1981
ERIE COUNTY MEDICAL CENTER,330219,332350,,,462 GRIDER STREET,Dialysis Unit,BUFFALO,NY,14215,2,10,0%,90,31%,48,Achievement,4,96%,82,98%,40,Achievement,4,55%,972,41%,525,Improvement,4,22%,801,34%,349,Improvement,4%,10,10,10,64%,No reduction,01/01/1980,INDEPENDENT,01/02/1980
LONG BEACH MEDICAL CENTER,330225,332413,,,455 EAST BAY DRIVE,,LONG BEACH,NY,11561,2,10,0%,16,,3,Achievement,10,100%,19,,5,Achievement,0,35%,188,Insufficient data,26,Achievement,6,13%,160,Insufficient data,8,Achievement,3%,0,10,10,76%,No reduction,02/11/2011,INDEPENDENT,02/12/2011
UNITY HOSPITAL OF ROCHESTER - PARK RIDGE CAMPUS,330226,332390,,,1555 LONG POND ROAD,,ROCHESTER,NY,14626,2,10,0%,71,3%,74,Achievement,10,100%,74,97%,70,Achievement,5,61%,839,47%,804,Achievement,5,15%,780,22%,572,Achievement,5%,10,10,10,85%,No reduction,06/01/1990,INDEPENDENT,06/02/1990
BROOKS MEMORIAL HOSPITAL,330229,332400,,,529 CENTRAL AVENUE,Dialysis Unit,DUNKIRK,NY,14048,2,10,0%,40,5%,37,Achievement,10,100%,40,97%,37,Achievement,6,63%,479,57%,430,Achievement,3,19%,417,19%,293,Achievement,5%,10,10,10,85%,No reduction,07/29/1996,INDEPENDENT,07/30/1996
BROOKDALE HOSPITAL & MEDICAL CENTER,330233,332352,,,1 BROOKDALE PLAZA,ROOM 249  - HEMODIALYSIS UNIT,BROOKLYN,NY,11212,2,4,6%,16,0%,16,Achievement,4,94%,18,89%,18,Improvement,0,23%,142,31%,153,Achievement,5,15%,115,29%,87,Achievement,3%,0,10,10,40%,1.0%,06/15/1981,INDEPENDENT,06/01/2007
WOMENS CHRISTIAN ASSOC. HOSP.,330239,332369,,,207 FOOTE AVENUE,Dialysis Unit,JAMESTOWN,NY,14701,2,10,0%,60,15%,68,Achievement,7,98%,59,100%,62,Achievement,10,78%,572,77%,583,Achievement,8,9%,549,5%,424,Achievement,9%,10,10,10,88%,No reduction,08/06/1982,INDEPENDENT,02/03/2007
HARLEM HOSPITAL,330240,332354,,,506 LENOX AVENUE - ROOM 18-107,DIALYSIS UNIT,NEW YORK,NY,10037,2,5,11%,38,24%,37,Improvement,10,100%,39,100%,38,Achievement,8,69%,444,64%,426,Achievement,10,4%,426,1%,307,Achievement,9%,10,10,10,82%,No reduction,09/22/1982,INDEPENDENT,09/23/1982
CVPH MEDICAL CENTER RENAL CENTER,330250,332409,,,75 BEEKMAN STREET,,PLATTSBURGH,NY,12901,2,N/A,,2,,3,N/A,N/A,,2,,4,N/A,N/A,Insufficient data,24,Insufficient data,36,N/A,N/A,Insufficient data,19,Insufficient data,23,N/A,N/A,10,10,10,100%,No reduction,10/10/1999,INDEPENDENT,01/09/2007
GOOD SAMARITAN HOSPITAL,330286,332359,,,1000 MONTAUK HIGHWAY,DIALYSIS UNIT-3 Annex,WEST ISLIP,NY,11795,2,10,0%,11,,8,Achievement,10,100%,11,,8,Achievement,0,26%,137,Insufficient data,70,Achievement,0,36%,70,Insufficient data,42,Achievement,0%,10,10,10,70%,No reduction,07/24/1981,INDEPENDENT,07/25/1981
MARJORIE BASSER DIALYSIS CENTER,330395,332379,,,"327 BEACH 19TH STREET, DIALYSIS UNIT",ST. JOHN'S EPISCOPAL HOSPITAL,FAR ROCKAWAY,NY,11691,2,10,0%,64,20%,70,Achievement,0,89%,62,94%,69,Achievement,6,64%,757,60%,789,Achievement,2,20%,708,20%,550,Achievement,4%,10,10,10,52%,0.5%,11/09/1981,INDEPENDENT,11/10/1981
ST. BARNABAS HOSPITAL OPD DIALYSIS CENTER,330399,332375,,,4451 THIRD AVENUE,,BRONX,NY,10457,2,9,1%,123,4%,136,Achievement,8,99%,130,95%,138,Achievement,2,51%,1495,43%,1537,Achievement,4,16%,1396,19%,1088,Achievement,3%,10,10,10,70%,No reduction,01/19/2007,INDEPENDENT,01/20/2007
ST. CATHERINE OF SIENA MED. CTR,330401,332405,,,50 ROUTE 25A,DIALYSIS UNIT,SMITHTOWN,NY,11787,2,1,10%,72,8%,84,Achievement,8,99%,71,96%,79,Achievement,0,42%,899,41%,867,Achievement,0,40%,788,37%,599,Achievement,0%,10,10,10,37%,1.0%,03/01/2000,INDEPENDENT,03/02/2000
MONTEFIORE HOSP. & MED. CTR.,332313,330059,,,111 EAST 210TH STREET,Dialysis Unit-4TH FLOOR,BRONX,NY,10467,2,N/A,,1,0%,34,N/A,N/A,,1,97%,36,N/A,N/A,Insufficient data,23,76%,294,N/A,N/A,Insufficient data,11,6%,122,N/A,N/A,0,10,0,33%,1.0%,01/01/1977,INDEPENDENT,01/02/1977
WESTCHESTER ARTIFICIAL KIDNEY CENTER,332504,,,,234 TARRYTOWN ROAD,DIALYSIS UNIT,ELMSFORD,NY,10523,2,10,0%,63,0%,62,Achievement,7,98%,61,100%,63,Achievement,5,61%,720,60%,693,Achievement,10,2%,660,3%,474,Achievement,8%,10,N/A,10,85%,No reduction,09/10/1981,"DIALYSIS CLINIC, INC.",01/04/1977
SOUTH BRONX DIALYSIS CENTER,332506,,,,1940 WEBSTER AVENUE,,BRONX,NY,10457,2,10,0%,53,0%,60,Achievement,10,100%,59,100%,61,Achievement,9,71%,653,66%,662,Achievement,9,6%,631,7%,452,Achievement,9%,10,10,10,97%,No reduction,02/13/1981,DAVITA,02/14/1981
"ISLAND REHABILITATIVE SERVICES, INC.",332511,,,,470 SEAVIEW AVENUE,Dialysis Unit,STATEN ISLAND,NY,10305,2,10,0%,89,0%,103,Achievement,1,94%,99,94%,104,Achievement,6,64%,1128,62%,1139,Achievement,5,15%,1061,19%,786,Achievement,6%,10,10,10,61%,No reduction,12/28/1979,INDEPENDENT,12/29/1979
"X-CLOSED NEPHROLOGY FOUND. OF BKYN, N",332512,,,,342 FLATBUSH AVENUE,,BROOKLYN,NY,11238,2,6,4%,50,8%,80,Achievement,0,93%,57,93%,85,Achievement,9,71%,287,72%,868,Achievement,6,13%,288,13%,593,Achievement,8%,0,0,0,42%,1.0%,03/10/1983,INDEPENDENT,03/11/1983
HUNTINGTON ARTIFICIAL KIDNEY CENTER,332513,,,,256 BROADWAY,,HUNTINGTON STA,NY,11746,2,10,0%,73,1%,83,Achievement,10,100%,55,98%,60,Achievement,9,71%,767,71%,779,Achievement,7,10%,713,14%,544,Achievement,8%,10,10,0,91%,No reduction,02/28/1983,DAVITA,03/01/1983
TERENCE CARDINAL COOKE HEALTH CENTER,332514,,,,1249 FIFTH AVENUE,Dialysis Unit,NEW YORK,NY,10029,2,9,1%,97,17%,131,Achievement,8,99%,102,95%,136,Achievement,0,43%,860,40%,1384,Achievement,0,29%,757,26%,934,Achievement,0%,10,10,10,61%,No reduction,09/03/1991,INDEPENDENT,11/29/1985
SOUTH BROOKLYN NEPHROLOGY CENTER,332516,,,,"39-15 AVENUE V, SUITE 104",,BROOKLYN,NY,11234,2,10,0%,116,4%,118,Achievement,7,98%,130,100%,117,Achievement,8,70%,1441,66%,1340,Achievement,9,7%,1349,9%,939,Achievement,9%,10,10,10,88%,No reduction,09/12/1986,DAVITA,09/13/1986
FMS-QUEENS ARTIFICIAL KIDNEY CENTER,332517,,,,34-35 70TH STREET,,JACKSON HEIGHTS,NY,11372,2,9,1%,172,1%,177,Achievement,10,100%,171,99%,182,Achievement,10,76%,1958,74%,2000,Achievement,10,4%,1846,4%,1400,Achievement,10%,10,10,10,97%,No reduction,03/26/1986,FRESENIUS MEDICAL CARE,01/02/1985
FMS-CENTRAL SUFFOLK AKC,332518,,,,5225 NESCONSET HIGHWAY,UNIT #72 - BLDG.9,PT.JEFFERSN STATION,NY,11776,2,10,0%,96,2%,98,Achievement,8,99%,88,100%,90,Achievement,6,63%,989,66%,1042,Achievement,4,16%,884,13%,696,Achievement,5%,10,10,10,79%,No reduction,01/18/1982,FRESENIUS MEDICAL CARE,01/19/1982
FMS-BAYSIDE DIALYSIS CENTER,332519,,,,201-10 NORTHERN BOULEVARD,,BAYSIDE,NY,11361,2,10,0%,66,1%,68,Achievement,2,95%,61,100%,62,Achievement,10,79%,700,80%,702,Achievement,6,13%,624,11%,465,Achievement,8%,10,10,10,70%,No reduction,01/12/1984,FRESENIUS MEDICAL CARE,01/02/2004
ROGOSIN INSTITUTE,332520,,,,505 EAST 70TH STREET,Room 252,NEW YORK,NY,10021,2,6,21%,208,53%,218,Improvement,2,95%,167,95%,183,Achievement,6,62%,2302,59%,2414,Achievement,3,19%,2128,20%,1691,Achievement,5%,10,10,10,49%,0.5%,01/31/1984,INDEPENDENT,02/01/1984
NASSAU DIALYSIS LLC,332521,,,,615 PENINSULA BOULEVARD,,HEMPSTEAD,NY,11550,2,10,0%,88,4%,95,Achievement,10,100%,88,99%,91,Achievement,4,56%,1071,52%,1059,Achievement,8,9%,1020,10%,744,Achievement,6%,10,10,10,88%,No reduction,01/24/1984,INDEPENDENT,01/25/1984
"NEPHROLOGY FOUND. OF BKLYN, S",332522,,,,1845 MCDONALD AVENUE,,BROOKLYN,NY,11223,2,9,1%,129,4%,129,Achievement,7,98%,132,94%,134,Achievement,8,70%,1524,68%,1562,Achievement,7,10%,1431,12%,1095,Achievement,8%,10,10,10,82%,No reduction,03/30/1984,INDEPENDENT,03/31/1984
FMS-CAPITAL DISTRICT DIALYSIS CENTER,332523,,,,650 MCCLELLAN STREET,,SCHENECTADY,NY,12304,2,9,1%,102,3%,107,Achievement,10,100%,104,93%,107,Achievement,6,64%,1180,64%,1084,Achievement,3,19%,1109,20%,747,Achievement,5%,10,N/A,10,82%,No reduction,09/30/1988,FRESENIUS MEDICAL CARE,11/12/1986
CITY DIALYSIS CENTER,332524,,,,105 EAST 106TH STREET,,NEW YORK,NY,10029,2,10,0%,81,2%,88,Achievement,8,99%,80,97%,89,Achievement,10,78%,892,78%,962,Achievement,10,5%,843,9%,657,Achievement,10%,10,10,10,94%,No reduction,08/21/1984,OTHER CHAIN(number of facilities <20 ),01/02/2004
RICHMOND KIDNEY CENTER,332525,,,,1366 VICTORY BOULEVARD,,STATEN ISLAND,NY,10301,2,9,1%,106,4%,95,Achievement,8,99%,94,98%,91,Achievement,10,85%,1170,85%,1027,Achievement,9,6%,1085,6%,715,Achievement,10%,10,10,0,88%,No reduction,09/19/1984,DAVITA,09/20/1984
LOWER MANHATTAN DIALYSIS CENTER,332528,,,,323 EAST 34TH STREET,,NEW YORK,NY,10016,2,10,0%,113,2%,126,Achievement,5,97%,123,97%,124,Achievement,9,72%,1443,74%,1367,Achievement,7,11%,1370,7%,968,Achievement,8%,10,10,10,79%,No reduction,10/16/1985,INDEPENDENT,10/17/1985
"HUNTINGTON AKC FREEPORT, EXT.",332529,,,,267 WEST MERRICK ROAD,,FREEPORT,NY,11520,2,10,0%,40,0%,39,Achievement,10,100%,40,97%,38,Achievement,3,53%,419,53%,416,Achievement,2,21%,391,22%,291,Achievement,3%,10,10,10,79%,No reduction,12/24/1984,DAVITA,12/25/1984
S. MANHATTAN DIALYSIS CENTER,332530,,,,510-526 AVENUE OF THE AMERICAS,Sub Cellar,NEW YORK,NY,10011,2,8,2%,113,4%,128,Achievement,7,98%,119,98%,127,Achievement,6,63%,1349,61%,1429,Achievement,9,7%,1262,7%,998,Achievement,8%,10,10,10,79%,No reduction,02/24/1986,OTHER CHAIN(number of facilities <20 ),02/25/1986
FMS-SOUTH QUEENS DIALYSIS CENTER,332531,,,,175-37 LIBERTY AVENUE,,JAMAICA,NY,11433,2,8,2%,94,4%,84,Achievement,7,98%,97,100%,88,Achievement,10,76%,1099,70%,956,Achievement,10,4%,1017,9%,662,Achievement,10%,10,10,10,85%,No reduction,07/03/1986,FRESENIUS MEDICAL CARE,07/04/1986
H & L RUBIN DIALYSIS CENTER,332532,,,,1850 PEOPLES AVENUE,,TROY,NY,12180,2,10,0%,46,2%,64,Achievement,7,98%,62,98%,58,Achievement,5,61%,697,55%,675,Achievement,1,24%,659,26%,459,Achievement,3%,10,0,10,67%,No reduction,07/17/1986,INDEPENDENT,07/18/1986
FMS-NEPHROCARE,332534,,,,1402 ATLANTIC AVENUE,,BROOKLYN,NY,11216,2,7,3%,91,7%,71,Achievement,2,95%,85,97%,71,Achievement,5,61%,995,42%,748,Achievement,5,18%,894,33%,500,Improvement,5%,10,10,10,52%,0.5%,01/01/2004,FRESENIUS MEDICAL CARE,01/02/2004
NEPHROLOGY FOUND. OF BKLYN - E,332535,,,,63 PENNSLYVANIA AVENUE,,BROOKLYN,NY,11207,2,3,7%,84,8%,91,Achievement,8,99%,85,96%,95,Achievement,5,61%,941,60%,965,Achievement,6,13%,879,15%,663,Achievement,6%,10,10,10,61%,No reduction,11/03/1988,INDEPENDENT,11/04/1988
ITHACA DIALYSIS CLINIC,332536,,,,201 DATES DRIVE,Suite 206,ITHACA,NY,14850,2,10,0%,41,2%,43,Achievement,10,100%,33,94%,33,Achievement,9,72%,396,76%,370,Achievement,1,24%,384,11%,256,Achievement,5%,10,10,0,82%,No reduction,11/17/1988,DAVITA,11/18/1988
FMS-MIDDLETOWN DIALYSIS CENTER,332538,,,,220 CRYSTAL RUN ROAD,,MIDDLETOWN,NY,10941,2,8,2%,124,3%,119,Achievement,8,99%,122,95%,118,Achievement,9,73%,1448,59%,1285,Achievement,8,9%,1376,16%,864,Achievement,9%,10,10,10,85%,No reduction,02/26/1991,FRESENIUS MEDICAL CARE,02/27/1991
SOUTHERN WESTCHESTER DIALYSIS CTR,332539,,,,44 VARK STREET,,YONKERS,NY,10701,2,9,1%,104,3%,107,Achievement,7,98%,102,99%,111,Achievement,5,60%,1188,63%,1210,Achievement,5,14%,1082,7%,841,Achievement,5%,10,10,10,73%,No reduction,05/14/1990,OTHER CHAIN(number of facilities <20 ),05/15/1990
RIDGEWOOD DIALYSIS CENTER,332541,,,,385 SENECA AVENUE,,RIDGEWOOD,NY,11385,2,8,2%,183,17%,191,Achievement,1,94%,189,94%,190,Achievement,8,70%,2088,66%,2079,Achievement,7,11%,1963,12%,1440,Achievement,8%,10,10,10,61%,No reduction,12/09/1991,INDEPENDENT,05/27/2006
LOWER MANHATTAN DIALYSIS CENTER II,332543,,,,187 3RD AVENUE,,NEW YORK,NY,10003,2,10,0%,38,2%,41,Achievement,10,100%,39,100%,44,Achievement,10,78%,419,69%,467,Achievement,6,12%,383,16%,330,Achievement,8%,10,10,10,94%,No reduction,09/21/1992,INDEPENDENT,09/22/1992
FMS-ALBANY DIALYSIS CENTER,332544,,,,64 ALBANY SHAKER ROAD,,ALBANY,NY,12204,2,10,0%,93,2%,98,Achievement,4,96%,93,99%,101,Achievement,0,45%,1034,42%,1060,Achievement,0,25%,966,24%,751,Achievement,0%,10,5,10,50%,0.5%,06/30/1983,FRESENIUS MEDICAL CARE,07/01/1983
UNIVERSITY DIALYSIS CENTER,332545,,,,1127 EAST GENESEE STREET,,SYRACUSE,NY,13210,2,6,4%,108,10%,108,Achievement,0,93%,86,97%,93,Achievement,7,66%,1081,58%,1092,Achievement,4,16%,1043,22%,792,Achievement,6%,10,10,10,46%,0.5%,09/25/1980,"DIALYSIS CLINIC, INC.",01/02/1976
CATSKILL DIALYSIS CENTER,332546,,,,139 FORESTBURGH ROAD,,MONTICELLO,NY,12701,2,10,0%,68,5%,55,Achievement,10,100%,53,89%,54,Achievement,5,61%,574,59%,627,Achievement,8,9%,512,15%,438,Achievement,7%,10,10,10,91%,No reduction,12/07/1992,DAVITA,12/08/1992
ROGOSIN INSTITUTE-QUEENS,332547,,,,66-20 QUEENS BOULEVARD,DIALYSIS CTR.,WOODSIDE,NY,11377,2,9,1%,147,3%,155,Achievement,5,97%,135,99%,136,Achievement,8,68%,1570,64%,1659,Achievement,5,15%,1482,15%,1161,Achievement,7%,10,10,10,73%,No reduction,02/08/1993,INDEPENDENT,02/09/1993
"RENAL CARE OF BUFFALO, INC.",332548,,,,550 ORCHARD PARK ROAD,,WEST SENECA,NY,14224,2,10,0%,62,4%,90,Achievement,10,100%,69,92%,87,Achievement,7,67%,769,63%,975,Achievement,4,16%,718,22%,665,Achievement,6%,10,10,10,88%,No reduction,03/29/1993,DAVITA,03/30/1993
NIAGARA RENAL CENTER INC,332549,,,,3018 MILITARY ROAD,,NIAGARA FALLS,NY,14304,2,10,0%,31,2%,55,Achievement,4,96%,28,96%,47,Achievement,2,50%,320,58%,578,Achievement,0,27%,299,29%,394,Achievement,1%,10,10,10,55%,No reduction,10/12/1993,FRESENIUS MEDICAL CARE,10/05/2002
FMS-NEPHRO CARE WEST,332550,,,,358-362 4TH AVENUE,,BROOKLYN,NY,11215,2,9,1%,73,4%,73,Achievement,10,100%,66,99%,73,Achievement,1,49%,826,47%,813,Achievement,0,26%,760,19%,567,Achievement,1%,10,5,10,68%,No reduction,03/14/1994,FRESENIUS MEDICAL CARE,03/15/1994
COMPREHENSIVE DIALYSIS OF WNY,332551,,,,6010 MAIN STREET,,WILLIAMSVILLE,NY,14221,2,10,0%,100,2%,107,Achievement,8,99%,83,100%,88,Achievement,2,50%,1059,48%,1067,Achievement,6,13%,1039,15%,747,Achievement,4%,10,10,10,76%,No reduction,05/27/1994,INDEPENDENT,05/28/1994
HUNTINGTON AKC - SYOSSET EXT,332552,,,,1 LOCUST LANE,,SYOSSET,NY,11791,2,10,0%,51,4%,51,Achievement,10,100%,50,100%,46,Achievement,9,73%,562,72%,537,Achievement,6,13%,490,13%,365,Achievement,8%,10,10,10,94%,No reduction,06/23/1994,DAVITA,06/24/1994
FMS-KENMORE ARTIFICIAL KIDNEY CENTER,332554,,,,1508 SHERIDAN DRIVE,,KENMORE,NY,14217,2,10,0%,53,15%,47,Achievement,4,95%,59,91%,46,Improvement,8,69%,609,58%,513,Achievement,4,17%,592,17%,354,Achievement,6%,10,10,10,70%,No reduction,09/19/1994,FRESENIUS MEDICAL CARE,09/20/1994
HUNTINGTON AKC- MEDFORD EXT.,332555,,,,1725 NORTH OCEAN AVENUE,,MEDFORD,NY,11763,2,10,0%,40,6%,32,Achievement,10,100%,45,100%,32,Achievement,4,57%,451,54%,315,Achievement,5,15%,375,27%,207,Achievement,5%,10,10,10,85%,No reduction,10/28/1994,DAVITA,10/29/1994
"UTICA AVENUE DIALYSIS CLINIC, INC.",332556,,,,1305 UTICA AVENUE,EMPIRE STATE DC,BROOKLYN,NY,11203,2,9,1%,105,8%,105,Achievement,10,100%,110,99%,107,Achievement,9,73%,1180,67%,1158,Achievement,7,10%,1106,16%,797,Achievement,8%,10,10,0,88%,No reduction,05/03/1995,DAVITA,05/04/1995
H & L RUBIN DIALYSIS CTR II,332557,,,,59C MYRTLE AVENUE,,SARATOGA SPRINGS,NY,12866,2,10,0%,74,2%,84,Achievement,2,95%,73,96%,75,Achievement,8,68%,1026,61%,1048,Achievement,3,19%,976,17%,738,Achievement,6%,10,10,10,64%,No reduction,02/01/1995,INDEPENDENT,02/02/1995
NASSAU DIALYSIS LLC,332558,,,,250 PETTIT AVENUE,,BELLMORE,NY,11710,2,10,0%,83,0%,100,Achievement,10,100%,78,100%,91,Achievement,7,65%,980,64%,1081,Achievement,5,15%,910,10%,731,Achievement,6%,10,10,10,88%,No reduction,05/19/1995,INDEPENDENT,05/20/1995
PORT CHESTER DIALYSIS & RENAL CTR.,332559,,,,38 BULKLEY AVENUE,,PORT CHESTER,NY,10573,2,10,0%,34,5%,37,Achievement,10,100%,34,100%,36,Achievement,7,67%,366,64%,420,Achievement,9,6%,330,6%,287,Achievement,8%,10,10,10,94%,No reduction,08/21/1995,DAVITA,08/22/1995
BAYRIDGE SUNSET PK DIALYSIS CTR,332560,,,,140 58TH STREET,"Building B, Box 65",BROOKLYN,NY,11220,2,10,0%,78,21%,73,Achievement,10,100%,67,98%,66,Achievement,10,77%,839,67%,790,Achievement,7,10%,778,22%,550,Achievement,9%,10,10,10,97%,No reduction,11/03/1995,INDEPENDENT,11/04/1995
